30.5,0,0,0,0,0,0,0,0,0,0,0,7330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,204
31.5,0,0,0,0,0,0,0,0,0,0,0,16534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,459
32.5,0,0,0,0,0,0,0,0,0,0,0,25110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,697
33.5,0,0,0,0,0,0,0,0,0,0,0,26939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,748
34.5,0,0,0,0,0,0,0,0,0,0,0,21369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,594
35.5,0,0,0,0,0,0,0,0,0,0,0,13092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,364
36.5,0,0,0,0,0,0,0,0,0,0,0,6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179
37.5,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74
38.5,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
39.5,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,9
40.5,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3
41.5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,2,1
42.5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,3,2
43.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,6,5
44.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,393,0,0,0,0,0,0,0,0,0,0,11,11
45.5,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,694,0,0,0,0,0,0,0,0,0,0,20,19
46.5,0,0,0,0,13,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,33,30
47.5,0,0,0,0,48,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,51,44
48.5,0,0,0,0,160,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2073,0,0,0,0,0,0,0,0,0,0,83,61
49.5,0,0,0,0,495,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2536,0,0,0,0,0,0,0,0,0,0,145,92
50.5,0,0,0,4,1417,5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2910,0,0,0,0,0,0,0,0,0,0,281,180
51.5,0,0,0,20,3744,13513,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,3162,0,0,0,0,0,0,0,0,0,0,568,393
52.5,0,0,0,88,9147,28292,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,3282,0,0,0,0,0,0,0,0,0,0,1135,821
53.5,0,0,0,336,20672,53280,0,0,0,14,0,0,0,0,0,0,121,0,0,0,0,38,0,0,0,3279,0,1,0,0,0,0,0,0,0,0,2160,1571
54.5,0,0,0,1096,43249,91067,0,0,0,34,0,0,0,0,0,0,506,0,0,0,0,55,0,0,0,3177,0,3,0,0,0,0,0,0,0,0,3866,2766
55.5,0,0,0,3090,83895,142769,0,0,0,78,0,0,0,0,0,0,1647,0,0,0,0,79,0,0,0,3008,0,9,0,0,0,0,2,0,0,0,6516,4535
56.5,0,0,0,7631,151214,207656,0,0,0,168,0,0,0,0,0,0,4228,0,0,0,0,115,1,0,0,2803,0,21,0,0,0,0,3,0,0,0,10384,7025
57.5,0,0,0,16748,253974,283471,0,0,0,342,0,0,0,0,0,1,8626,0,0,0,0,168,2,0,0,2588,0,46,0,0,0,0,7,0,0,0,15721,10402
